year,country_name,hdi_category,indicator_name,reference,values
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,113
,Mongolia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,114
,Honduras,MEDIUM HUMAN DEVELOPMENT,HDI rank,,115
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,116
,Bolivia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,117
,Guatemala,MEDIUM HUMAN DEVELOPMENT,HDI rank,,118
,Gabon,MEDIUM HUMAN DEVELOPMENT,HDI rank,,119
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,HDI rank,,120
,South Africa,MEDIUM HUMAN DEVELOPMENT,HDI rank,,121
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,122
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,HDI rank,,123
,Botswana,MEDIUM HUMAN DEVELOPMENT,HDI rank,,124
,Namibia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,125
,Morocco,MEDIUM HUMAN DEVELOPMENT,HDI rank,,126
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,,127
,India,MEDIUM HUMAN DEVELOPMENT,HDI rank,,128
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,HDI rank,,129
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,HDI rank,,130
,Cambodia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,131
,Myanmar,MEDIUM HUMAN DEVELOPMENT,HDI rank,,132
,Bhutan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,133
,Comoros,MEDIUM HUMAN DEVELOPMENT,HDI rank,,134
,Ghana,MEDIUM HUMAN DEVELOPMENT,HDI rank,,135
,Pakistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,136
,Mauritania,MEDIUM HUMAN DEVELOPMENT,HDI rank,,137
,Lesotho,MEDIUM HUMAN DEVELOPMENT,HDI rank,,138
,Congo,MEDIUM HUMAN DEVELOPMENT,HDI rank,,139
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,HDI rank,,140
,Swaziland,MEDIUM HUMAN DEVELOPMENT,HDI rank,,141
,Nepal,MEDIUM HUMAN DEVELOPMENT,HDI rank,,142
,Madagascar,MEDIUM HUMAN DEVELOPMENT,HDI rank,,143
,Cameroon,MEDIUM HUMAN DEVELOPMENT,HDI rank,,144
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,,145
,Haiti,MEDIUM HUMAN DEVELOPMENT,HDI rank,,146
,Sudan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,147
,Kenya,MEDIUM HUMAN DEVELOPMENT,HDI rank,,148
,Djibouti,MEDIUM HUMAN DEVELOPMENT,HDI rank,,149
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,HDI rank,,150
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,HDI rank,,151
,Togo,MEDIUM HUMAN DEVELOPMENT,HDI rank,,152
,Yemen,MEDIUM HUMAN DEVELOPMENT,HDI rank,,153
,Uganda,MEDIUM HUMAN DEVELOPMENT,HDI rank,,154
,Gambia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,155
,Senegal,LOW HUMAN DEVELOPMENT,HDI rank,,156
,Eritrea,LOW HUMAN DEVELOPMENT,HDI rank,,157
,Nigeria,LOW HUMAN DEVELOPMENT,HDI rank,,158
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,HDI rank,,159
,Guinea,LOW HUMAN DEVELOPMENT,HDI rank,,160
,Rwanda,LOW HUMAN DEVELOPMENT,HDI rank,,161
,Angola,LOW HUMAN DEVELOPMENT,HDI rank,,162
,Benin,LOW HUMAN DEVELOPMENT,HDI rank,,163
,Malawi,LOW HUMAN DEVELOPMENT,HDI rank,,164
,Zambia,,HDI rank,,165
,Côte d'Ivoire,,HDI rank,,166
,Burundi,,HDI rank,,167
,Congo (Democratic Republic of the),,HDI rank,,168
,Ethiopia,,HDI rank,,169
,Chad,,HDI rank,,170
,Central African Republic,,HDI rank,,171
,Mozambique,,HDI rank,,172
,Mali,,HDI rank,,173
,Niger,,HDI rank,,174
,Guinea-Bissau,,HDI rank,,175
,Burkina Faso,,HDI rank,,176
,Sierra Leone,,HDI rank,,177
,Iceland,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"29,430"
,Norway,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"26,657"
,Australia,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"11,849"
,Canada,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"18,408"
,Ireland,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,751"
,Sweden,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"16,670"
,Switzerland,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"8,669"
,Japan,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"8,459"
,Netherlands,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"7,196"
,France,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"8,231"
,Finland,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"17,374"
,United States,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"14,240"
,Spain,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,412"
,Denmark,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,967"
,Austria,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"8,256"
,United Kingdom,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,756"
,Belgium,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"8,986"
,Luxembourg,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"16,630"
,New Zealand,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"10,238"
,Italy,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,029"
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,401"
,Germany,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"7,442"
,Israel,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,924"
,Greece,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"5,630"
,Singapore,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"8,685"
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"7,710"
,Slovenia,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"7,262"
,Cyprus,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"5,718"
,Portugal,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"4,925"
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"8,842"
,Barbados,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,304"
,Czech Republic,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,720"
,Kuwait,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"15,423"
,Malta,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"5,542"
,Qatar,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"19,840"
,Hungary,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"4,070"
,Poland,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,793"
,Argentina,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,714"
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"12,000"
,Chile,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,347"
,Bahrain,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"11,932"
,Slovakia,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"5,335"
,Lithuania,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,505"
,Estonia,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,168"
,Latvia,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,923"
,Uruguay,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,408"
,Croatia,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,818"
,Costa Rica,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,876"
,Bahamas,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,964"
,Seychelles,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,716"
,Cuba,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,380"
,Mexico,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,130"
,Bulgaria,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"4,582"
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,333"
,Tonga,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,327
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,147"
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,346"
,Oman,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"5,079"
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"4,921"
,Romania,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,548"
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,902"
,Panama,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,807"
,Malaysia,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,196"
,Belarus,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,508"
,Mauritius,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,775"
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,690"
,Russian Federation,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"6,425"
,Albania,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,847"
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,863"
,Brazil,HIGH HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,340"
,Dominica,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,129"
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,879"
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"4,320"
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,770"
,Colombia,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,074"
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,727"
,Samoa,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,619
,Thailand,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,020"
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,536"
,Belize,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,686
,China,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,684"
,Grenada,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,963"
,Armenia,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,744"
,Turkey,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,122"
,Suriname,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"3,437"
,Jordan,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,738"
,Peru,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,927
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,691"
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,092"
,Philippines,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,677
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,313"
,Fiji,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,926
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,030"
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,460"
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,146"
,Georgia,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,577"
,Guyana,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,090"
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,796"
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,420
,Maldives,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,539
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,697"
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,529
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,732
,Algeria,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,889
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,560
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,513
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,476
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,784"
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,060"
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,525
,Moldova,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,554"
,Egypt,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,465"
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,944"
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,260"
,Honduras,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,730
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,320"
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,493
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,532
,Gabon,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"1,128"
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,206
,South Africa,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"4,818"
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,"2,638"
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,99
,Botswana,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,..
,Namibia,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,..
,Morocco,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,652
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,52
,India,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,618
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,107
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,126
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,10
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,129
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,229
,Comoros,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,31
,Ghana,MEDIUM HUMAN DEVELOPMENT,Electricity consumption per capita (kilowatt-hours) 2004,,289
